id,title,artist,album,album_artist,genre,grouping,composer,bpm,key,duration,comment,rating,coverart_location,color,Cover Art Filename,filename,Mood
1965,Manhattan Bridge,StudioRich,Field Recording,,Field Recording,,,138.0,Bb,3819.650612244,,,,,,,
2065,Lofi Dreams chill Vibes,StudioRich,Mix,,,,,88.0,Gm,5594.267573696,,,,,,,
2067,Bay Ridge Sunset v2 + 30-min Mix,StudioRich,Mix,,,,,81.10670219051082,Dm,1920.052244897,,,,,,,
2068,Cloud Ecstacy Mix,StudioRich,Mix,,,,,87.0,Fm,3218.5759637180004,,,,,,,
2069,Tropical Lo-Fi Chill Vol. 1,StudioRich,Mix,,,,,117.00550143,G,3615.753287981,,,,,,,
2070,Cinematic Mix,StudioRich,Mix,,,,,82.83333333333333,D,3156.1955555550003,,,,,,,
2071,Lofi Sunday - Cherry Soda - Jan 19 - 1hr,StudioRich,Mix,,,,,72.00308156639952,Db,3625.9700680270003,,,,,,,
2072,Lofi Sunday - Feb 2 - Reflections - Harris Heller,StudioRich,Mix,,,,,149.97761509363096,Ab,3300.089614512,,,,,,,
2426,Abyssal Mix,StudioRich,Stranger Vibes,,Lofi,,,100.75997946216044,D,3477.4174149650003,Generated by Trackstar,0.0,,,Abyssal_Mix.jpg,Abyssal_Mix.flac,
2428,Weightless Memory Drive,StudioRich,Stranger Vibes,,Lofi,,,76.36843045518283,F♯/G♭,4028.3138321990004,Generated by Trackstar,0.0,,,Weightless_Memory_Drive.jpg,Weightless_Memory_Drive.flac,
2429,Tape from the Other Side,StudioRich,Stranger Vibes,,Lofi,Primer,,76.0,B,87.519979166,Generated by Trackstar,5.0,,,Tape_from_the_Other_Side.jpg,Tape_from_the_Other_Side.flac,"Cinematic, Dreamy, Haunting, Hopeful, Intimate, Melancholy"
2467,Blue Hoodie,StudioRich,Stranger Vibes,,Lofi,Withdrawal,,79.25,B♭,122.439979166,Generated by Trackstar,5.0,,,Blue_Hoodie.jpg,Blue_Hoodie.flac,"Dark, Gritty, Haunting, Lonely, Melancholy"
2468,Blue Hoodie (A-Side),StudioRich,Stranger Vibes,,Lofi,Withdrawal,,71.75,D♭,153.879979166,Generated by Trackstar,5.0,,,Blue_Hoodie_--A-Side--.jpg,Blue_Hoodie_--A-Side--.flac,"Chill, Dreamy, Haunting, Intimate"
2469,Blur Escape,StudioRich,Stranger Vibes,,Lofi,Flight,,92.0446829962239,B♭,159.999979166,Generated by Trackstar,5.0,,,Blur_Escape.jpg,Blur_Escape.flac,"Dark, Dreamy, Gritty, Intimate, Lonely"
2470,Blur Escape (A-Side),StudioRich,Stranger Vibes,,Lofi,Flight,,120.0,A♭,143.91997916600002,Generated by Trackstar,5.0,,,Blur_Escape_--A-Side--.jpg,Blur_Escape_--A-Side--.flac,"Dark, Gritty, Haunting, Playful, Tense"
2471,Brotherhood Beat  (A-Side),StudioRich,Stranger Vibes,,Lofi,Legacy,,93.0,D♭,123.79997916600001,Generated by Trackstar,5.0,,,Brotherhood_Beat_--A-Side--.jpg,Brotherhood_Beat_--A-Side--.flac,"Chill, Dreamy, Intimate, Lonely"
