Title,Mood,album_artist,grouping,rating,bpm,key,duration,genre,composer,album,artist,Audio Filename,Cover Art Filename,Groove,Rhythm Density,Phrase Length,Percussive Shape,Energy Level
A New Dawn,"Chill, Comforting, Dreamy, Hopeful, Intimate",Eleven,,0,0,,0,,,,,A_New_Dawn.flac,A_New_Dawn.jpg,straight,5,8,balanced,4
Abyssal Mix,,-,,0,0,,0,,,,,Abyssal_Mix.flac,Abyssal_Mix.jpg,,,,,
Backwards Bloom,"Cinematic, Dreamy, Energetic, Gritty, Nostalgic, Tense",Eleven,Primer,5,128.25,C#m,212.999979166,Lo-fi,,Stranger Vibes,StudioRich,Backwards_Bloom.flac,Backwards_Bloom.jpg,,,,,
Blue Hoodie,"Dark, Gritty, Haunting, Lonely, Melancholy",Max,Withdrawal,5,79.25,Bb,122.439979166,Lo-fi,,Stranger Vibes,StudioRich,Blue_Hoodie.flac,Blue_Hoodie.jpg,,,,,
Blue Hoodie (A-Side),"Chill, Dreamy, Haunting, Intimate",Max,Withdrawal,5,71.75,Db,153.879979166,Lo-fi,,Stranger Vibes,StudioRich,Blue_Hoodie_--A-Side--.flac,Blue_Hoodie_--A-Side--.jpg,,,,,
Blur Escape,"Dark, Dreamy, Gritty, Intimate, Lonely",Max,Flight,5,92.044682996224,Bb,159.999979166,Lo-fi,,Stranger Vibes,StudioRich,Blur_Escape.flac,Blur_Escape.jpg,,,,,
Blur Escape (A-Side),"Dark, Gritty, Haunting, Playful, Tense",Max,Flight,5,120,Ab,143.919979166,Lo-fi,,Stranger Vibes,StudioRich,Blur_Escape_--A-Side--.flac,Blur_Escape_--A-Side--.jpg,,,,,
Brotherhood Beat  (A-Side),"Chill, Dreamy, Intimate, Lonely",Lucas,Legacy,5,93,Db,123.799979166,Lo-fi,,Stranger Vibes,StudioRich,Brotherhood_Beat_--A-Side--.flac,Brotherhood_Beat_--A-Side--.jpg,,,,,
Brotherhood Beat  (B-Side),"Chill, Comforting, Dreamy, Hopeful, Lonely",Lucas,Legacy,5,86,Db,102.079979166,Lo-fi,,Stranger Vibes,StudioRich,Brotherhood_Beat_--B-Side--.flac,Brotherhood_Beat_--B-Side--.jpg,,,,,
Brotherhood Beat (C-Side),"Cinematic, Dreamy, Intimate, Lonely",Lucas,Legacy,5,81,B,136.959979166,Lo-fi,,Stranger Vibes,StudioRich,Brotherhood_Beat_--C-Side--.flac,Brotherhood_Beat_--C-Side--.jpg,,,,,
Brotherhood Beat (D-Side),"Cinematic, Comforting, Dreamy, Intimate, Melancholy",Lucas,Legacy,5,84,D,138.959979166,Lo-fi,,Stranger Vibes,StudioRich,Brotherhood_Beat_--D-Side--.flac,Brotherhood_Beat_--D-Side--.jpg,,,,,
California Sunspot,"Chill, Cinematic, Dark, Dreamy, Gritty, Hopeful, Intimate",Max,Echo,5,138,Eb,112.999979166,Lo-fi,,Stranger Vibes,StudioRich,California_Sunspot.flac,California_Sunspot.jpg,,,,,
California Sunspot (A-Side),"Cinematic, Dreamy, Gritty, Hopeful, Melancholy, Tense",Max,Echo,5,94,Bb,147.479979166,Lo-fi,,Stranger Vibes,StudioRich,California_Sunspot_--A-Side--.flac,California_Sunspot_--A-Side--.jpg,,,,,
Cassette Crush,"Comforting, Dreamy, Intimate, Playful",Max,,0,0,,0,,,,,Cassette_Crush.flac,Cassette_Crush.jpg,,,,,
Cassette Gravity,"Cinematic, Dark, Haunting, Tense",Max,Weight,5,118.166666666667,Ebm,146.119979166,Lo-fi,,Stranger Vibes,StudioRich,Cassette_Gravity.flac,Cassette_Gravity.jpg,,,,,
Cassette Gravity (A-Side),"Agrressive, Chill, Melancholy, Tense",Max,Weight,5,156.08333333,B,147.679979166,Lo-fi,,Stranger Vibes,StudioRich,Cassette_Gravity_--A-Side--.flac,Cassette_Gravity_--A-Side--.jpg,,,,,
Cherry Sparkles,"Cinematic, Dreamy, Weightless",Max,,0,0,,0,,,,,Cherry_Sparkles.flac,Cherry_Sparkles.jpg,,,,,
Dreams In Rewind,"Cinematic, Comforting, Dreamy, Intimate",Max,,0,0,,0,,,,,Dreams_in_Rewind.flac,Dreams_In_Rewind.jpg,,,,,
Driveway Fadeout,"Dreamy, Intimate, Nostalgic",Max,Echo,5,71.833333333333,Db,97.439979166,Lo-fi,,Stranger Vibes,StudioRich,Driveway_Fadeout.flac,Driveway_Fadeout.jpg,,,,,
Driveway Fadeout (A-Side),"Agrressive, Cinematic, Dark, Energetic, Gritty",Max,Echo,5,82.75,Bb,92.919979166,Lo-fi,,Stranger Vibes,StudioRich,Driveway_Fadeout_--A-Side--.flac,Driveway_Fadeout_--A-Side--.jpg,,,,,
Echoes Of Nostalgia,"Cinematic, Dreamy, Hopeful, Weightless",Eleven,,0,0,,0,,,,,Echoes_of_Nostalgia.flac,Echoes_Of_Nostalgia.jpg,,,,,
Echoes of Time (A-Side),"Chill, Cinematic, Gritty, Lonely, Tense",Eleven,Primer,5,128.083333333333,C,180.199979166,Lo-fi,,Stranger Vibes,StudioRich,Echoes_of_Time_--A-Side--.flac,Echoes_of_Time_--A-Side--.jpg,,,,,
Echoes of Time (C-Side),"Cinematic, Dreamy, Energetic, Gritty, Nostalgic",Eleven,Primer,5,128,C#m,212.999979166,Lo-fi,,Stranger Vibes,StudioRich,Echoes_of_Time_--C-Side--.flac,Echoes_of_Time_--C-Side--.jpg,,,,,
Empty Hall Echo,"Cinematic, Dreamy, Energetic, Hopeful, Nostalgic",Max,Echo,5,84.416666666667,F#,106.039979166,Lo-fi,,Stranger Vibes,StudioRich,Empty_Hall_Echo.flac,Empty_Hall_Echo.jpg,,,,,
Empty Hall Echo (A-Side),"Cinematic, Intimate, Melancholy, Nostalgic, Tense",Max,Echo,5,112.66666667,G#m,98.799979166,Lo-fi,,Stranger Vibes,StudioRich,Empty_Hall_Echo_--A-Side--.flac,Empty_Hall_Echo_--A-Side--.jpg,,,,,
Fade Out Glow (A-Side),"Chill, Comforting, Dreamy, Intimate, Nostalgic",Lucas,Legacy,5,85,Db,110.079979166,Lo-fi,,Stranger Vibes,StudioRich,Fade_Out_Glow_--A-Side--.flac,Fade_Out_Glow_--A-Side--.jpg,,,,,
